No. of straight lines,Median height,Median width,Median radius,Median rectangularity ratio,Median circularity ratio,Median rectangular area,Median circular area

2342,70.0,77.5,54.0,0.32533294695182957,0.32489938446969696,5425.0,9160.884177867836

2170,75.0,80.0,56.0,0.3063529411764706,0.30633333333333335,6000.0,9852.03456165759

2433,67.5,82.5,57.0,0.3252878289473684,0.32401315789473684,5568.75,10207.034531513238

2561,71.0,79.5,58.5,0.3341997764017888,0.3338235294117647,5644.5,10751.31545874767

1635,78.0,80.0,53.0,0.3182070959848738,0.3179759256148145,6240.0,8824.73376393373

3802,66.0,75.0,54.0,0.35140685354817347,0.3507692307692308,4950.0,9160.884177867836

3599,75.0,76.0,57.0,0.32411813306305537,0.3232848232848233,5700.0,10207.034531513238

4656,66.0,78.0,59.0,0.3642241379310345,0.36337798577366665,5148.0,10935.88402714607

3669,67.0,75.0,55.0,0.35096442277568923,0.35050027412280704,5025.0,9503.317777109125

3324,76.0,85.0,58.0,0.3253482840638804,0.32501635802072,6460.0,10568.317686676064

3363,80.0,83.0,60.5,0.31955922865013775,0.3186980203971751,6640.0,11499.01451030204

2966,72.0,78.0,57.0,0.3506442207547613,0.3505463059313215,5616.0,10207.034531513238

3388,75.0,79.0,60.0,0.348093058733791,0.3476697177726926,5925.0,11309.733552923255

1633,87.0,83.5,60.0,0.32360375688434306,0.32325,7264.5,11309.733552923255

3138,81.0,91.0,65.0,0.35881263232180666,0.35864608224277467,7371.0,13273.228961416875

3365,79.0,85.0,62.0,0.3441358743855324,0.3436046511627907,6715.0,12076.282160399165

3246,80.0,94.5,66.0,0.30408678702553793,0.30355639730639733,7560.0,13684.77759903714

3614,78.0,85.0,65.5,0.3374045801526718,0.33735099956012937,6630.0,13478.21788206361

2535,78.0,89.0,63.0,0.3444047619047619,0.344034336875246,6942.0,12468.981242097889

4030,75.0,80.0,61.0,0.36754675558709426,0.3674069440100094,6000.0,11689.86626400762

5274,73.0,78.0,62.0,0.3464985994397759,0.3462887262431854,5694.0,12076.282160399165

5228,76.0,77.0,63.0,0.3366670000333367,0.3367003367003367,5852.0,12468.981242097889

5299,80.0,74.0,60.0,0.3325066137566138,0.3340022246272246,5920.0,11309.733552923255

3649,71.0,72.0,61.0,0.36430027173913043,0.36298196227101187,5112.0,11689.86626400762

3740,71.0,75.0,62.0,0.37518628912071533,0.3751355174417136,5325.0,12076.282160399165

3862,61.0,73.0,64.0,0.3724286727335508,0.3721095977193538,4453.0,12867.963509103793

3811,69.0,79.0,65.0,0.3424005387484459,0.3413800248653129,5451.0,13273.228961416875

525,75.0,83.0,49.0,0.3834561774793841,0.37824046898107566,6225.0,7542.963961269093

2100,72.0,63.0,51.5,0.41419354838709677,0.4135986056953799,4536.0,8332.289115483529

1756,71.5,63.0,55.0,0.372456148276875,0.3709516011644833,4504.5,9503.317777109125

1570,74.5,60.5,53.5,0.41568303265494966,0.41479801797262117,4507.25,8992.023572737386

1868,58.0,49.5,47.0,0.44864435805921177,0.44802867383512546,2871.0,6939.778171779853

1959,58.0,45.5,50.0,0.43199858040219485,0.43121938302661195,2639.0,7853.981633974483

2905,59.5,48.0,46.0,0.4188425736198115,0.41833030852994557,2856.0,6647.610054996002

2546,62.0,49.5,45.0,0.43866424922459407,0.4385057471264368,3069.0,6361.725123519332

2589,56.0,47.0,46.0,0.4659090909090909,0.4658980152401205,2632.0,6647.610054996002

2341,59.0,51.0,48.0,0.4706994328922495,0.4705671077504726,3009.0,7238.229473870883

1901,55.0,44.0,42.0,0.4625531914893617,0.4622985606376135,2420.0,5541.769440932396

1734,60.0,51.0,44.0,0.4669051878354204,0.4668833931379831,3060.0,6082.123377349839

2009,58.5,48.0,49.0,0.4805720581262377,0.47982456140350876,2808.0,7542.963961269093

1782,58.0,45.0,42.0,0.46567315108227286,0.465142598460842,2610.0,5541.769440932396

656,56.0,54.0,46.0,0.4573055028462998,0.45594441808981656,3024.0,6647.610054996002

5437,56.0,63.5,42.0,0.43586748231294525,0.4353546910755149,3556.0,5541.769440932396

5380,52.0,58.0,39.0,0.4432186761702639,0.44303790951370337,3016.0,4778.362426110075

5732,53.0,59.0,40.0,0.4386973180076628,0.43687316880775295,3127.0,5026.548245743669

6076,45.0,51.0,36.0,0.44999789900169407,0.44984917043740574,2295.0,4071.5040790523717

7494,44.0,52.0,40.0,0.462111801242236,0.46182513139034875,2288.0,5026.548245743669

9125,46.0,48.0,34.0,0.44689221085759245,0.4459891930708938,2208.0,3631.6811075498013

9467,45.0,47.0,32.0,0.45517857142857143,0.45471694528875384,2115.0,3216.990877275948

7004,47.5,50.0,37.0,0.4723159263705482,0.47227891156462587,2375.0,4300.840342764427

7082,52.0,50.5,37.0,0.47656973868730124,0.47646604938271603,2626.0,4300.840342764427

7951,53.5,52.0,40.0,0.4691068768619662,0.46875,2782.0,5026.548245743669

9488,53.0,57.0,39.0,0.4703525641025641,0.4700523753457427,3021.0,4778.362426110075

6854,48.0,52.0,37.0,0.4540546516478932,0.454,2496.0,4300.840342764427

5546,47.0,54.5,38.0,0.4357295181882338,0.43545903637646755,2561.5,4536.459791783661

22643,69.0,61.0,49.0,0.39038671023965144,0.39032104329186873,4209.0,7542.963961269093

4289,71.0,86.0,55.5,0.37543632837750485,0.3752768496347618,6106.0,9676.89077121996

4513,71.0,84.0,55.0,0.3653297173850985,0.3650209354516111,5964.0,9503.317777109125

