Class no.,Extraversion,Agreeableness,Neuroticism,Conscientiousness,Openness

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

302,0.681818181818182,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

303,0.318181818181818,0.157894736842105,0.625,0.55,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

305,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

306,0.272727272727273,0.526315789473684,0.333333333333333,0.5,0.5

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

307,0.272727272727273,0.526315789473684,0.5,0.25,0.166666666666667

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

308,0.5,0.526315789473684,0.0,0.5,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

309,1.0,0.789473684210526,0.333333333333333,0.2,0.388888888888889

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

310,0.227272727272727,0.842105263157895,0.416666666666667,0.25,0.611111111111111

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

311,0.636363636363636,0.526315789473684,0.291666666666667,0.6,0.222222222222222

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

312,0.272727272727273,0.736842105263158,0.625,0.0,0.666666666666667

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

313,0.227272727272727,0.789473684210526,0.375,0.3,0.555555555555556

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

314,0.409090909090909,0.31578947368421,0.291666666666667,0.05,0.611111111111111

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

315,0.409090909090909,1.0,0.541666666666667,0.15,0.444444444444444

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

345,0.409090909090909,0.157894736842105,0.291666666666667,0.55,0.5

346,0.545454545454545,0.263157894736842,0.0833333333333333,0.75,0.0555555555555556

346,0.545454545454545,0.263157894736842,0.0833333333333333,0.75,0.0555555555555556

346,0.545454545454545,0.263157894736842,0.0833333333333333,0.75,0.0555555555555556

346,0.545454545454545,0.263157894736842,0.0833333333333333,0.75,0.0555555555555556

346,0.545454545454545,0.263157894736842,0.0833333333333333,0.75,0.0555555555555556

346,0.545454545454545,0.263157894736842,0.0833333333333333,0.75,0.0555555555555556

346,0.545454545454545,0.263157894736842,0.0833333333333333,0.75,0.0555555555555556

346,0.545454545454545,0.263157894736842,0.0833333333333333,0.75,0.0555555555555556
